Date,UserID,Product,Count,Price
2024-06-10,1781697,Видеокамера Huawei PR-408714,106,79594
2024-04-08,1586335,Телевизор Apple MS-476121,475,16850
2024-02-04,1241022,Телевизор Lenovo NT-431297,92,40846
2024-07-04,366861,Компьютер Honor DL-200438,130,33349
2024-05-05,1036091,Ноутбук Honor NT-46530,290,46230
2024-05-07,632774,Видеокамера Huawei PR-289514,346,17355
2024-04-13,412007,Стереосистема Apple ML-209397,104,29365
2024-07-08,876042,Телевизор Apple WF-343512,42,12875
2024-01-09,1009463,Стереосистема Huawei ML-28337,378,63766
2024-02-13,1527268,Стереосистема Apple MS-399821,319,49596
2024-01-05,680614,Видеокамера Apple MS-480695,484,17331
2024-06-04,1336572,Стереосистема Apple PR-201360,92,34572
2024-04-04,951780,Видеокамера Apple ML-341043,219,63124
2024-04-08,952449,Компьютер Huawei PR-208012,439,72785
2024-06-05,2819215,Видеокамера Apple NT-271138,92,35692
2024-07-03,1673953,Ноутбук Samsung MS-268163,52,63236
2024-04-10,341834,Стереосистема Lenovo NT-130418,493,18082
2024-07-10,1754563,Компьютер Samsung NT-106127,393,38960
2024-02-12,1055914,Компьютер Lenovo NT-254180,332,62395
2024-03-05,1349885,Телевизор Lenovo ML-376447,442,29923
2024-07-12,350107,Ноутбук Huawei PR-419372,21,26150
2024-07-05,2702486,Видеокамера Apple MS-138624,440,72223
2024-07-01,809069,Ноутбук Huawei NT-345841,256,48427
2024-07-02,1487744,Стереосистема Honor PR-26698,243,10361
2024-01-06,1365814,Стереосистема Huawei WF-244039,92,20650
2024-03-05,2923735,Ноутбук Lenovo MS-203057,287,68408
2024-07-08,2101742,Видеокамера Huawei WF-19261,212,18214
2024-02-06,97958,Телевизор Honor MS-308766,452,37571
2024-05-09,635014,Стереосистема Apple PR-446243,51,39691
2024-02-10,953071,Ноутбук Xiaomi PR-73521,359,10744
2024-06-07,573388,Телевизор Lenovo ML-208751,473,50434
2024-07-13,1861615,Телевизор Xiaomi ML-184287,234,60221
2024-02-12,1274624,Видеокамера Huawei DL-247852,210,15061
2024-04-04,501345,Стереосистема Xiaomi DL-353764,177,71494
2024-02-13,1772850,Ноутбук Xiaomi NT-89877,86,16997
2024-01-13,2913207,Видеокамера Huawei DL-306835,245,75855
2024-07-12,458821,Компьютер Huawei NT-290305,338,28415
2024-07-07,2119251,Телевизор Apple NT-407303,475,24147
2024-02-03,2587979,Стереосистема Samsung DL-358846,20,58020
2024-07-10,1488452,Видеокамера Huawei DL-492218,263,58509
2024-03-11,1236314,Стереосистема Apple DL-477843,439,10850
2024-06-02,816737,Компьютер Huawei ML-259383,84,11967
2024-01-07,28466,Телевизор Samsung WF-119568,386,15863
2024-07-05,1988739,Компьютер Xiaomi MS-26176,208,41561
2024-04-13,95645,Видеокамера Lenovo PR-264326,439,17929
2024-06-07,2528216,Видеокамера Lenovo WF-195079,348,71468
2024-02-05,2003230,Стереосистема Huawei NT-439988,468,68100
2024-03-04,2033640,Телевизор Samsung NT-106083,442,49583
2024-02-10,1045476,Видеокамера Samsung NT-164079,177,32209
2024-07-12,998457,Компьютер Xiaomi MS-149432,430,79517
2024-06-11,722212,Видеокамера Samsung MS-404811,172,72963
2024-07-12,1187598,Ноутбук Samsung MS-6142,92,51516
2024-06-01,2767053,Ноутбук Apple MS-7225,316,33770
2024-02-04,1422653,Телевизор Apple PR-119742,175,11859
2024-04-01,2147518,Стереосистема Honor DL-416036,460,56656
2024-06-07,1461590,Компьютер Samsung MS-491041,302,60212
2024-02-02,373577,Видеокамера Honor PR-80864,220,13720
2024-02-05,1255726,Компьютер Xiaomi ML-324558,307,41961
2024-02-13,1594179,Компьютер Honor PR-222116,445,59689
2024-06-08,749893,Компьютер Samsung PR-74534,282,32693
2024-01-13,1311481,Компьютер Samsung WF-380940,348,23851
2024-07-03,2276949,Компьютер Samsung PR-355585,222,40894
2024-06-09,1787952,Телевизор Huawei WF-41440,358,22640
2024-07-12,2320805,Ноутбук Honor NT-409165,402,58974
2024-01-04,2936743,Стереосистема Huawei ML-286928,218,27873
2024-05-03,1623000,Телевизор Samsung MS-80533,310,56495
2024-02-07,466287,Стереосистема Samsung WF-76378,246,70390
2024-05-06,276511,Телевизор Honor ML-355222,427,54273
2024-07-11,2733466,Ноутбук Samsung NT-465142,452,65571
2024-03-02,122603,Ноутбук Huawei MS-277973,251,35103
2024-07-04,2840936,Видеокамера Xiaomi DL-399588,82,33990
2024-02-13,1771809,Телевизор Huawei WF-185363,314,18785
2024-04-08,2094021,Ноутбук Lenovo ML-299428,176,39246
2024-02-10,2546406,Компьютер Huawei MS-92421,268,50169
2024-07-01,2557162,Компьютер Apple ML-426586,110,55532
2024-04-08,8375,Компьютер Samsung NT-146250,329,14228
2024-06-04,889013,Компьютер Apple WF-199586,304,29432
2024-02-06,2798571,Видеокамера Lenovo WF-268160,104,62275
2024-01-13,2779352,Телевизор Apple WF-81736,418,20464
2024-02-02,878230,Стереосистема Lenovo ML-206338,67,28688
2024-03-12,516483,Стереосистема Xiaomi MS-96598,203,33510
2024-07-08,2947370,Видеокамера Lenovo WF-294183,239,18540
2024-03-08,1219253,Компьютер Apple NT-471273,37,59500
2024-01-12,502925,Ноутбук Apple DL-282777,450,29320
2024-02-09,2364723,Стереосистема Apple ML-375874,350,22608
2024-02-03,1185224,Видеокамера Apple NT-185095,36,69009
2024-02-09,1351781,Стереосистема Xiaomi DL-57155,216,77973
2024-07-11,2221562,Видеокамера Xiaomi ML-59279,130,40965
2024-07-04,2310868,Телевизор Xiaomi DL-394382,98,25567
2024-05-03,135504,Телевизор Lenovo NT-178412,352,44991
2024-02-09,2918098,Стереосистема Lenovo MS-160926,145,70558
2024-06-08,2277171,Телевизор Samsung WF-39331,334,41296
2024-01-03,1433688,Стереосистема Lenovo DL-86189,174,71114
2024-02-05,983174,Стереосистема Xiaomi WF-257403,317,26019
2024-07-06,2174853,Стереосистема Samsung WF-320605,116,29101
2024-07-05,2915094,Телевизор Xiaomi WF-283245,449,67724
2024-04-03,2781459,Телевизор Apple MS-241361,31,50098
2024-07-05,646022,Телевизор Apple WF-150820,475,13047
2024-01-07,175655,Телевизор Apple PR-241775,286,10014
2024-01-10,1388743,Телевизор Samsung WF-70395,287,69569
2024-03-13,2508411,Компьютер Lenovo NT-171186,485,70214
2024-02-09,1808082,Телевизор Lenovo DL-221734,113,40586
2024-04-01,2713739,Видеокамера Lenovo MS-222703,409,40796
2024-01-09,992132,Видеокамера Samsung WF-43019,2,64723
2024-07-06,1480808,Компьютер Huawei WF-431708,213,71609
2024-02-02,1081261,Ноутбук Lenovo PR-178507,315,49931
2024-06-09,313703,Телевизор Honor PR-301116,435,31402
2024-04-08,1656434,Видеокамера Samsung PR-303626,148,44821
2024-01-01,569454,Стереосистема Samsung ML-150737,325,72455
2024-07-01,1342982,Компьютер Apple NT-443623,138,29088
2024-06-09,1135578,Ноутбук Samsung PR-219919,260,77136
2024-04-09,2900011,Стереосистема Xiaomi ML-86996,398,77790
2024-05-12,92209,Телевизор Apple MS-254120,493,62479
2024-07-01,1772986,Стереосистема Xiaomi PR-31897,443,43163
2024-06-05,615143,Ноутбук Samsung DL-2839,326,30986
2024-01-01,1460639,Видеокамера Samsung MS-493601,277,60251
2024-05-05,1103049,Компьютер Huawei NT-462585,64,27051
2024-05-12,741869,Телевизор Lenovo ML-346573,109,22584
2024-03-07,2218661,Стереосистема Huawei WF-53727,39,54396
2024-05-06,2653612,Стереосистема Honor PR-356949,90,72898
2024-04-13,2688830,Компьютер Lenovo DL-407340,127,79908
2024-03-11,2946947,Компьютер Huawei ML-61680,492,25644
2024-06-05,306049,Видеокамера Huawei NT-248956,190,78390
2024-03-02,1874168,Компьютер Apple PR-320114,75,61587
2024-05-13,2112859,Ноутбук Xiaomi PR-435204,91,69016
2024-02-03,1913250,Ноутбук Apple ML-108349,479,76307
2024-07-10,58620,Компьютер Apple PR-283521,363,20883
2024-07-01,1593023,Стереосистема Lenovo DL-311566,371,14848
2024-01-10,2275832,Ноутбук Lenovo DL-76906,220,57464
2024-06-12,1649866,Ноутбук Honor PR-334999,93,15245
2024-06-08,1684734,Стереосистема Huawei ML-356911,360,13744
2024-02-01,792902,Стереосистема Samsung NT-48620,216,74387
2024-02-10,2180212,Видеокамера Lenovo PR-326995,224,76822
2024-07-07,304088,Телевизор Apple WF-150107,232,27107
2024-03-02,796578,Видеокамера Apple DL-52537,240,38053
2024-07-12,39142,Телевизор Lenovo ML-458487,404,35987
2024-05-12,1770460,Компьютер Samsung NT-380719,166,68710
2024-02-03,225062,Телевизор Lenovo PR-346787,483,67838
2024-04-03,2737859,Ноутбук Apple NT-383838,310,68858
2024-06-05,1984207,Ноутбук Xiaomi DL-395708,209,67813
2024-04-01,1681918,Ноутбук Apple MS-456125,259,63568
2024-07-10,604865,Видеокамера Apple MS-33836,88,50321
2024-07-02,2428455,Телевизор Honor NT-57638,72,26785
2024-02-08,2108090,Телевизор Xiaomi NT-268839,252,30158
2024-01-02,548030,Видеокамера Samsung MS-207741,185,62792
2024-05-03,1982484,Ноутбук Samsung ML-344449,213,60051
2024-01-03,1016055,Телевизор Honor MS-367138,288,37244
2024-06-08,529432,Ноутбук Xiaomi MS-383400,447,18465
2024-02-06,1855446,Компьютер Apple NT-272439,411,42341
2024-03-13,236308,Видеокамера Honor NT-255316,185,65560
2024-06-07,1764300,Компьютер Xiaomi ML-349096,282,73526
2024-04-11,2815085,Видеокамера Apple MS-376902,237,41456
2024-07-04,1507023,Ноутбук Huawei NT-234073,315,49531
2024-04-03,2612782,Компьютер Honor NT-374767,426,13156
2024-05-10,1865084,Телевизор Xiaomi DL-42777,234,38772
2024-07-09,2343589,Телевизор Samsung MS-81234,128,54452
2024-04-09,58274,Компьютер Apple NT-47768,77,17801
2024-04-09,2918596,Видеокамера Honor DL-367130,379,65663
2024-07-09,1760157,Компьютер Apple DL-88964,181,40302
2024-02-01,1553972,Ноутбук Huawei WF-211212,314,78724
2024-03-09,2255660,Ноутбук Honor MS-361018,96,73510
2024-05-08,1118332,Видеокамера Samsung PR-182013,75,21587
2024-02-04,1051988,Телевизор Huawei ML-20524,231,48023
2024-06-05,704410,Видеокамера Huawei ML-331467,31,66649
2024-05-11,2857648,Телевизор Apple NT-260863,238,40280
2024-07-09,1621771,Видеокамера Honor WF-311348,99,51270
2024-01-05,810425,Компьютер Apple MS-259918,401,43110
